Overriding config with config/finetune_task_a.py:
# config/finetune_task_a.py

# system
device = 'cuda'   # FIX: was 'cpu'
compile = False

# I/O
out_dir = 'out/task_a'
eval_interval = 50
eval_iters = 40
always_save_checkpoint = False

# logging
wandb_log = False  # set to True if you want W&B
wandb_project = 'shakespeare_sft'
wandb_run_name = 'task_a_m100_finetune'
log_interval = 10

# data
dataset = 'task_a'
block_size = 256

# model — must match M_100 architecture
n_layer = 6
n_head = 6
n_embd = 384
bias = False
vocab_size = 65

# init from M_100 checkpoint
init_from = 'resume'
dropout = 0.1

# training
max_iters = 2000
iter_num = 0
learning_rate = 5e-5
decay_lr = False
min_lr = 5e-5
batch_size = 32
gradient_accumulation_steps = 1

# optimizer
weight_decay = 1e-1
beta1 = 0.9
beta2 = 0.95
grad_clip = 1.0
dtype = 'float16'

tokens per iteration will be: 8,192
found vocab_size = 62 (inside data/task_a/meta.pkl)
Resuming training from out/task_a
number of parameters: 10.65M
/teamspace/studios/this_studio/advanced-nlp-assignment-group6/train.py:216: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 1720: loss 0.2387, time 50.50ms, mfu 2.97%
iter 1730: loss 0.2273, time 51.25ms, mfu 3.03%
iter 1740: loss 0.2260, time 51.25ms, mfu 3.09%
step 1750: train loss 0.0813, val loss 2.2009
iter 1750: loss 0.2366, time 1391.34ms, mfu 2.80%
iter 1760: loss 0.2241, time 50.61ms, mfu 2.89%
iter 1770: loss 0.2145, time 50.19ms, mfu 2.97%
iter 1780: loss 0.2037, time 51.12ms, mfu 3.04%
iter 1790: loss 0.2257, time 51.29ms, mfu 3.10%
step 1800: train loss 0.0765, val loss 2.2203
iter 1800: loss 0.2216, time 1389.15ms, mfu 2.80%
iter 1810: loss 0.2146, time 50.88ms, mfu 2.89%
iter 1820: loss 0.2172, time 50.37ms, mfu 2.97%
iter 1830: loss 0.1919, time 51.11ms, mfu 3.04%
iter 1840: loss 0.2130, time 51.17ms, mfu 3.10%
step 1850: train loss 0.0739, val loss 2.2445
iter 1850: loss 0.2052, time 1387.34ms, mfu 2.80%
iter 1860: loss 0.2019, time 50.94ms, mfu 2.89%
iter 1870: loss 0.2075, time 50.99ms, mfu 2.96%
iter 1880: loss 0.1966, time 50.66ms, mfu 3.03%
iter 1890: loss 0.2008, time 50.14ms, mfu 3.10%
step 1900: train loss 0.0732, val loss 2.2559
iter 1900: loss 0.1899, time 1398.04ms, mfu 2.81%
iter 1910: loss 0.1959, time 51.19ms, mfu 2.89%
iter 1920: loss 0.1958, time 50.85ms, mfu 2.97%
iter 1930: loss 0.1816, time 50.13ms, mfu 3.04%
iter 1940: loss 0.1966, time 51.02ms, mfu 3.10%
step 1950: train loss 0.0692, val loss 2.2879
iter 1950: loss 0.1957, time 1388.83ms, mfu 2.81%
iter 1960: loss 0.1838, time 51.06ms, mfu 2.89%
iter 1970: loss 0.1842, time 50.81ms, mfu 2.97%
iter 1980: loss 0.1889, time 50.84ms, mfu 3.04%
iter 1990: loss 0.1823, time 50.95ms, mfu 3.10%
step 2000: train loss 0.0681, val loss 2.2899
iter 2000: loss 0.1880, time 1386.29ms, mfu 2.80%
